rank,Gaia DR3 source\_id,catalogues,$d_\mathrm{BJ}$ [kpc],"$\overline{v_{\rm grf}}$ [\,km\,s$^{-1}$\,]",$P_\mathrm{unbound}$,$T_\mathrm{eff}$ [K],$\log g$,[Fe/H],notes
1,1383279090527227264,"li2021,liao2024",6.38669482421875,652.670755394828,0.996,4801.0,1.884,-1.4,high-confidence unbound; dual-catalogue
2,1204061267883975040,liao2024,9.7394677734375,612.1718144933496,0.67,4612.38,1.175,-2.377,likely unbound
3,3877058564258758656,liao2024,5.51031884765625,497.5524976383372,0.571,5142.63,2.291,-1.214,likely unbound
4,1375165725506487424,"li2021,liao2024",7.507490234375,529.5166628097617,0.489,4242.47,0.749,-1.294,dual-catalogue
5,2105847208541125248,liao2024,9.0034794921875,480.49651632312896,0.422,4507.15,1.078,-1.22,---
6,4450458649852400640,liao2024,6.1907626953125,570.5491692839546,0.413,4757.56,1.723,-1.592,---
7,1477675943342041472,liao2024,7.7536416015625,505.25584804876166,0.36,4798.73,1.671,-1.659,---
8,1297316350890352000,liao2024,9.1148876953125,525.0307308762452,0.341,4430.71,1.245,-1.227,---
9,3960007851762445696,"li2021,liao2024",6.35853466796875,482.48246307103767,0.32,4928.46,2.128,-1.342,dual-catalogue
10,3651065597121243648,liao2024,5.49711474609375,520.8108856419309,0.296,5059.02,2.355,-2.112,---
11,1480182073940289024,liao2024,7.01602197265625,500.2220281107585,0.288,5667.21,3.54,-1.778,---
12,4429980078286167424,liao2024,5.9659306640625,527.3221443217789,0.204,4987.77,2.365,-1.668,---
13,3696393857329932672,liao2024,5.66302392578125,413.4012642303524,0.202,6522.65,4.287,-1.067,---
14,2125719266307162240,liao2024,15.75023828125,384.4145003186212,0.169,4147.95,1.173,-0.726,---
15,1850497933774341504,liao2024,6.904744140625,444.52802720656047,0.153,5594.82,3.13,-1.118,---
